wave,nproperties,N
2002,No assets,0.162851393742024
2002,Homeowner,0.571825952726019
2002,2+,0.265322653531956
2005,No assets,0.159201933364702
2005,Homeowner,0.533949740290714
2005,2+,0.306848326344585
2008,No assets,0.146516872118307
2008,Homeowner,0.521703708122812
2008,2+,0.331779419758881
2011,No assets,0.131274081446113
2011,Homeowner,0.503403097645151
2011,2+,0.365322820908736
2014,No assets,0.154585302967638
2014,Homeowner,0.47644956740948
2014,2+,0.368965129622882
2017,No assets,0.189415839960074
2017,Homeowner,0.39287968442881
2017,2+,0.417704475611117
2020,No assets,0.193234105003139
2020,Homeowner,0.400415067833231
2020,2+,0.40635082716363
2022,No assets,0.209070025817082
2022,Homeowner,0.366323593772212
2022,2+,0.424606380410706
