year,bage,population_share,wealth_share,pop_weight,wealth_weighted
2002,Menor de 35 anos,0.14665220610852,0.0797096796823466,2161383.0913781,173826137103.958
2002,Entre 35 y 44 anos,0.219248579543527,0.182158799471887,3231319.76810075,397241095157.798
2002,Entre 45 y 54 anos,0.194940398228049,0.252260640396862,2873061.99979586,550115027915.094
2002,Entre 55 y 64 anos,0.160363010952406,0.232103058609533,2363455.07205347,506156570304.774
2002,Entre 65 y 74 anos,0.166757543456926,0.166505698752721,2457698.68965244,363105742430.815
2002,Mayor de 74 anos,0.112038261710571,0.08726212308665,1651237.37906426,190296057293.05
2005,Menor de 35 anos,0.151882622994607,0.0773266718967339,2428208.24685221,306842598103.013
2005,Entre 35 y 44 anos,0.215370255765207,0.171727843528348,3443210.42700399,681439099632.216
2005,Entre 45 y 54 anos,0.200048890716792,0.256900062159362,3198261.63543015,1019413878707.66
2005,Entre 55 y 64 anos,0.16259243225618,0.25405725021446,2599430.25143985,1008133219891.04
2005,Entre 65 y 74 anos,0.161375878221301,0.152564174066065,2579980.71546273,605395090718.356
2005,Mayor de 74 anos,0.108729920045913,0.087423998135031,1738308.72373361,346910141951.149
2008,Menor de 35 anos,0.129495061637074,0.0634826585998522,2234800.1337532,305528537062.407
2008,Entre 35 y 44 anos,0.22218517301507,0.159798040638884,3834427.72330323,769073990577.182
2008,Entre 45 y 54 anos,0.203304707226351,0.23101272434105,3508592.3830475,1111815120340.38
2008,Entre 55 y 64 anos,0.166462532815553,0.254167613531614,2872777.4318043,1223254678422.34
2008,Entre 65 y 74 anos,0.147498597916896,0.170265638047762,2545501.59817614,819452311104.865
2008,Mayor de 74 anos,0.131053927389056,0.121273324840838,2261702.73024601,583662725231.257
2011,Menor de 35 anos,0.106257172697109,0.0414802467784356,1915056.44747184,194861402337.375
2011,Entre 35 y 44 anos,0.218205179179942,0.141899560881495,3932677.90449748,666600359735.58
2011,Entre 45 y 54 anos,0.210706131424791,0.206061636354145,3797523.73665285,968013995731.035
2011,Entre 55 y 64 anos,0.173064784953732,0.271633077108629,3119119.62122995,1276048395018.74
2011,Entre 65 y 74 anos,0.144219773570576,0.194150355503791,2599250.48087388,912058473032.918
2011,Mayor de 74 anos,0.147546958173849,0.144775123373505,2659215.80994009,680108865186.256
2014,Menor de 35 anos,0.0885501070014841,0.029458328566084,1626025.957415,132255292173.394
2014,Entre 35 y 44 anos,0.2128759123814,0.105495637455859,3908993.122219,473630278223.141
2014,Entre 45 y 54 anos,0.220488101929156,0.191389119062571,4048774.069036,859255263028.44
2014,Entre 55 y 64 anos,0.181096155428919,0.267736850786881,3325428.500166,1202023914797.77
2014,Entre 65 y 74 anos,0.155224143230324,0.248866273132669,2850346.483554,1117303094485.79
2014,Mayor de 74 anos,0.141765580028716,0.157053790995935,2603209.875182,705104329612.943
2017,Menor de 35 anos,0.0763047320625284,0.014204980770286,1414415.340159,66326804102.3977
2017,Entre 35 y 44 anos,0.203103164023478,0.108786435462427,3764802.300783,507952577381.017
2017,Entre 45 y 54 anos,0.225395667782864,0.214409078680688,4178025.156503,1001132573806.59
2017,Entre 55 y 64 anos,0.190818823984997,0.237471420040785,3537094.811031,1108816732079.69
2017,Entre 65 y 74 anos,0.158309174021682,0.231576246364047,2934482.80561,1081290610367.19
2017,Mayor de 74 anos,0.14606843812445,0.193551838681766,2707583.579836,903744615744.801
2020,Menor de 35 anos,0.0668998635557729,0.0167070811209879,1259165.481976,85835365406.0505
2020,Entre 35 y 44 anos,0.194696232835757,0.0998547353252026,3664503.376052,513020056112.375
2020,Entre 45 y 54 anos,0.242551195912675,0.238758152834373,4565212.502274,1226659112013.71
2020,Entre 55 y 64 anos,0.202866892967281,0.245570940428768,3818288.640412,1261660924021.68
2020,Entre 65 y 74 anos,0.156731884402829,0.208807039901546,2949951.887429,1072780364176.81
2020,Mayor de 74 anos,0.136253930325684,0.190302050389122,2564523.105591,977707949963.258
2022,Menor de 35 anos,0.0678683570994474,0.016523361940459,1297389.974508,99690795047.3881
2022,Entre 35 y 44 anos,0.182022844979193,0.10689279295787,3479598.214841,644918846007.553
2022,Entre 45 y 54 anos,0.245267791479917,0.200334909868095,4688605.814776,1208685406303.12
2022,Entre 55 y 64 anos,0.213982768716946,0.263372648699277,4090552.810112,1589012504669.38
2022,Entre 65 y 74 anos,0.156759293201664,0.219556329669343,2996653.287375,1324654458414.37
2022,Mayor de 74 anos,0.134098944522833,0.193319956864956,2563471.898415,1166361922461.1
